  slev   sx    sy dlev   dx    dy  count       per       cum
b   14 4826 10226   14 4824 10226  11445 4.091030e-02  89.293190
b   14 4823 10224   14 4824 10222  11430 4.085668e-02  89.334047
b   14 4825 10226   14 4826 10224  11336 4.052068e-02  89.374567
b   14 4824 10224   14 4826 10229  11320 4.046349e-02  89.415031
b   14 4830 10227   14 4824 10227  11198 4.002740e-02  89.455058
b   14 4824 10226   14 4827 10226  11113 3.972356e-02  89.494782
b   14 4823 10226   14 4824 10224  11082 3.961275e-02  89.534395
b   14 4823 10223   14 4825 10224  11067 3.955913e-02  89.573954
b   14 4826 10228   14 4824 10224  11012 3.936254e-02  89.613316
b   14 4824 10226   14 4827 10227  11007 3.934466e-02  89.652661
b   14 4823 10226   14 4825 10226  11001 3.932322e-02  89.691984
b   14 4824 10226   14 4826 10224  10970 3.921241e-02  89.731197
b   14 4824 10224   14 4826 10221  10835 3.872985e-02  89.769926
b   14 4824 10225   14 4825 10223  10604 3.790413e-02  89.807831
b   14 4825 10224   14 4825 10225  10588 3.784694e-02  89.845678
b   14 4823 10224   14 4825 10228  10538 3.766822e-02  89.883346
b   14 4829 10227   14 4826 10227  10402 3.718208e-02  89.920528
b   14 4829 10227   14 4824 10224  10340 3.696046e-02  89.957488
b   14 4823 10224   14 4824 10223  10339 3.695689e-02  89.994445
b   14 4825 10222   14 4825 10222  10333 3.693544e-02  90.031381
b   14 4825 10226   14 4826 10230  10324 3.690327e-02  90.068284
b   14 4826 10228   14 4827 10229  10303 3.682821e-02  90.105112
b   14 4829 10227   14 4823 10223  10265 3.669237e-02  90.141804
b   14 4823 10225   14 4823 10226  10230 3.656727e-02  90.178372
b   14 4825 10228   14 4824 10228  10060 3.595960e-02  90.214331
b   14 4824 10227   14 4823 10226   9991 3.571296e-02  90.250044
b   14 4826 10228   14 4825 10225   9978 3.566649e-02  90.285711
b   14 4826 10230   14 4825 10229   9968 3.563074e-02  90.321342
b   14 4824 10224   14 4824 10221   9925 3.547704e-02  90.356819
b   14 4823 10223   14 4830 10227   9807 3.505525e-02  90.391874
b   14 4825 10226   14 4827 10225   9785 3.497661e-02  90.426850
b   14 4825 10227   14 4826 10230   9603 3.432605e-02  90.461177
b   14 4825 10228   14 4823 10224   9540 3.410085e-02  90.495277
b   14 4824 10225   14 4829 10227   9482 3.389353e-02  90.529171
b   14 4824 10222   14 4825 10222   9422 3.367906e-02  90.562850
